State_County,County,State_abbr,State_full,County_ST,FedDistrict,Pop2020,Pop2010,GDP_2021,Lat,Lon
Alabama_Autauga County,Autauga,AL,Alabama,"Autauga, AL",6,56145,54571,1862747,32.5322367,-86.6464395
Alabama_Baldwin County,Baldwin,AL,Alabama,"Baldwin, AL",6,229287,182265,9891548,30.6592183,-87.7460666
Alabama_Barbour County,Barbour,AL,Alabama,"Barbour, AL",6,24589,27457,860027,31.8702531,-85.4051035
Alabama_Bibb County,Bibb,AL,Alabama,"Bibb, AL",6,22136,22915,511240,33.0158929,-87.1271475
Alabama_Blount County,Blount,AL,Alabama,"Blount, AL",6,57879,57322,1211710,33.9773575,-86.56644
Alabama_Bullock County,Bullock,AL,Alabama,"Bullock, AL",6,9976,10914,289132,32.1017589,-85.7172613
Alabama_Butler County,Butler,AL,Alabama,"Butler, AL",6,19504,20947,809234,31.751667,-86.6819689
Alabama_Calhoun County,Calhoun,AL,Alabama,"Calhoun, AL",6,113469,118572,5108424,33.7717061,-85.8225133
Alabama_Chambers County,Chambers,AL,Alabama,"Chambers, AL",6,32865,34215,1003863,32.9155039,-85.3940321
Alabama_Cherokee County,Cherokee,AL,Alabama,"Cherokee, AL",6,26294,25989,647497,34.0695153,-85.6542417
Alabama_Chilton County,Chilton,AL,Alabama,"Chilton, AL",6,44397,43643,1277386,32.8540514,-86.7266071
Alabama_Choctaw County,Choctaw,AL,Alabama,"Choctaw, AL",6,12418,13859,586394,31.9909539,-88.2488894
Alabama_Clarke County,Clarke,AL,Alabama,"Clarke, AL",6,23291,25833,998805,31.6855211,-87.8186244
Alabama_Clay County,Clay,AL,Alabama,"Clay, AL",6,13112,13932,509530,33.2703999,-85.8635254
Alabama_Cleburne County,Cleburne,AL,Alabama,"Cleburne, AL",6,14967,14972,356069,33.6719637,-85.5161261
Alabama_Coffee County,Coffee,AL,Alabama,"Coffee, AL",6,53230,49948,1681588,31.402258,-85.9896022
Alabama_Colbert County,Colbert,AL,Alabama,"Colbert, AL",6,55411,54428,2914003,34.703112,-87.8014569
Alabama_Conecuh County,Conecuh,AL,Alabama,"Conecuh, AL",6,11851,13228,456406,31.4309257,-86.9887221
Alabama_Coosa County,Coosa,AL,Alabama,"Coosa, AL",6,10650,11539,215536,32.9314453,-86.2434818
Alabama_Covington County,Covington,AL,Alabama,"Covington, AL",6,36930,37765,1427931,31.2439873,-86.4487206
Alabama_Crenshaw County,Crenshaw,AL,Alabama,"Crenshaw, AL",6,13681,13906,486101,31.7328256,-86.3192219
Alabama_Cullman County,Cullman,AL,Alabama,"Cullman, AL",6,84515,80406,3508691,34.1319229,-86.8692666
Alabama_Dale County,Dale,AL,Alabama,"Dale, AL",6,48959,50251,3147114,31.4306536,-85.609476
Alabama_Dallas County,Dallas,AL,Alabama,"Dallas, AL",6,36098,43820,1285684,32.3335397,-87.1143556
Alabama_DeKalb County,DeKalb,AL,Alabama,"DeKalb, AL",6,71658,71109,2292052,34.460929,-85.803992
Alabama_Elmore County,Elmore,AL,Alabama,"Elmore, AL",6,82158,79303,2213256,32.597229,-86.1427347
Alabama_Escambia County,Escambia,AL,Alabama,"Escambia, AL",6,36281,38319,1370932,31.1222867,-87.1684097
Alabama_Etowah County,Etowah,AL,Alabama,"Etowah, AL",6,102371,104430,3175372,34.0476407,-86.0342629
Alabama_Fayette County,Fayette,AL,Alabama,"Fayette, AL",6,16241,17241,398732,33.7161568,-87.7642923
Alabama_Franklin County,Franklin,AL,Alabama,"Franklin, AL",6,31507,31704,1113119,34.4419892,-87.8428144
Alabama_Geneva County,Geneva,AL,Alabama,"Geneva, AL",6,26411,26790,648397,31.0923822,-85.8210224
Alabama_Greene County,Greene,AL,Alabama,"Greene, AL",6,7990,9045,209573,32.8444965,-87.9642005
Alabama_Hale County,Hale,AL,Alabama,"Hale, AL",6,14670,15760,290391,32.7527958,-87.6230608
Alabama_Henry County,Henry,AL,Alabama,"Henry, AL",6,17223,17302,536521,31.5169779,-85.2399712
Alabama_Houston County,Houston,AL,Alabama,"Houston, AL",6,106580,101547,6451197,31.1581831,-85.2964111
Alabama_Jackson County,Jackson,AL,Alabama,"Jackson, AL",6,51582,53227,1694195,34.764114,-85.9800556
Alabama_Jefferson County,Jefferson,AL,Alabama,"Jefferson, AL",6,655342,658466,51658141,33.5534439,-86.8965359
Alabama_Lamar County,Lamar,AL,Alabama,"Lamar, AL",6,13764,14564,390612,33.7870852,-88.0874309
Alabama_Lauderdale County,Lauderdale,AL,Alabama,"Lauderdale, AL",6,93368,92709,3075955,34.9041221,-87.6509966
Alabama_Lawrence County,Lawrence,AL,Alabama,"Lawrence, AL",6,32857,34339,667584,34.529776,-87.3218651
Alabama_Lee County,Lee,AL,Alabama,"Lee, AL",6,166831,140247,7335523,32.6040644,-85.3530477
Alabama_Limestone County,Limestone,AL,Alabama,"Limestone, AL",6,102228,82782,4609337,34.8102387,-86.9813995
Alabama_Lowndes County,Lowndes,AL,Alabama,"Lowndes, AL",6,9641,11299,435892,32.147888,-86.6505859
Alabama_Macon County,Macon,AL,Alabama,"Macon, AL",6,17895,21452,619915,32.3870267,-85.692887
Alabama_Madison County,Madison,AL,Alabama,"Madison, AL",6,379453,334811,29477135,34.7642377,-86.5510802
Alabama_Marengo County,Marengo,AL,Alabama,"Marengo, AL",6,18733,21027,875190,32.2475911,-87.791091
Alabama_Marion County,Marion,AL,Alabama,"Marion, AL",6,29703,30776,1065703,34.1382194,-87.881551
Alabama_Marshall County,Marshall,AL,Alabama,"Marshall, AL",6,96990,93019,4131982,34.3095637,-86.3216681
Alabama_Mobile County,Mobile,AL,Alabama,"Mobile, AL",6,412716,412992,22908642,30.6845725,-88.1965682
Alabama_Monroe County,Monroe,AL,Alabama,"Monroe, AL",6,20459,23068,732608,31.5803324,-87.3832656
Alabama_Montgomery County,Montgomery,AL,Alabama,"Montgomery, AL",6,224639,229363,15738152,32.2028812,-86.2044615
Alabama_Morgan County,Morgan,AL,Alabama,"Morgan, AL",6,119883,119490,6615103,34.4544844,-86.8464021
Alabama_Perry County,Perry,AL,Alabama,"Perry, AL",6,8687,10591,209787,32.6390053,-87.2938269
Alabama_Pickens County,Pickens,AL,Alabama,"Pickens, AL",6,19793,19746,522342,33.2967933,-88.0968631
Alabama_Pike County,Pike,AL,Alabama,"Pike, AL",6,32966,32899,1603499,31.7986508,-85.9416035
Alabama_Randolph County,Randolph,AL,Alabama,"Randolph, AL",6,22920,22913,563528,33.2964753,-85.4640679
Alabama_Russell County,Russell,AL,Alabama,"Russell, AL",6,58237,52947,1679025,32.2898113,-85.1869798
Alabama_Shelby County,St. Clair,AL,Alabama,"St. Clair, AL",6,221428,195085,2446517,33.2630428,-86.6780894
Alabama_St. Clair County,Shelby,AL,Alabama,"Shelby, AL",6,90739,83593,13769154,33.7129627,-86.3156631
Alabama_Sumter County,Sumter,AL,Alabama,"Sumter, AL",6,12225,13763,354979,32.5974811,-88.2000571
Alabama_Talladega County,Talladega,AL,Alabama,"Talladega, AL",6,79985,82291,3391884,33.3693135,-86.1759302
Alabama_Tallapoosa County,Tallapoosa,AL,Alabama,"Tallapoosa, AL",6,40133,41616,1576636,32.8633076,-85.7996176
Alabama_Tuscaloosa County,Tuscaloosa,AL,Alabama,"Tuscaloosa, AL",6,210758,194656,11891483,33.2902197,-87.5227834
Alabama_Walker County,Walker,AL,Alabama,"Walker, AL",6,63143,67023,1915181,33.7915581,-87.3010936
Alabama_Washington County,Washington,AL,Alabama,"Washington, AL",6,15976,17581,967974,31.4052172,-88.1975644
Alabama_Wilcox County,Wilcox,AL,Alabama,"Wilcox, AL",6,10206,11670,394002,31.9900824,-87.3049349
Alabama_Winston County,Winston,AL,Alabama,"Winston, AL",6,23508,24484,1045869,34.1546073,-87.36529
Alaska_Aleutians East Borough,Aleutians East Borough,AK,Alaska,"Aleutians East Borough, AK",12,3401,3141,233494,55.2450437,-161.9974772
Alaska_Aleutians West Census Area,Aleutians West Census Area,AK,Alaska,"Aleutians West Census Area, AK",12,5680,5561,444798,51.948964,179.6211882
Alaska_Anchorage Municipality,Anchorage Municipality,AK,Alaska,"Anchorage Municipality, AK",12,287095,291826,24832047,61.1742503,-149.2843294
Alaska_Bethel Census Area,Bethel Census Area,AK,Alaska,"Bethel Census Area, AK",12,18437,17013,723486,60.9291413,-160.1526246
Alaska_Bristol Bay Borough,Bristol Bay Borough,AK,Alaska,"Bristol Bay Borough, AK",12,788,997,148048,58.7416473,-156.9669094
Alaska_Denali Borough,Denali Borough,AK,Alaska,"Denali Borough, AK",12,2081,1826,286296,63.6820386,-150.0270164
Alaska_Dillingham Census Area,Dillingham Census Area,AK,Alaska,"Dillingham Census Area, AK",12,4833,4847,267597,59.5433255,-158.2671226
Alaska_Fairbanks North Star Borough,Fairbanks North Star Borough,AK,Alaska,"Fairbanks North Star Borough, AK",12,95651,97581,6477984,64.6760436,-146.5481586
Alaska_Haines Borough,Haines Borough,AK,Alaska,"Haines Borough, AK",12,2614,2508,116205,59.0984037,-135.5757906
Alaska_Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,AK,Alaska,"Hoonah-Angoon Census Area, AK",12,2141,2150,97008,58.2534617,-136.3207314
Alaska_Juneau City and Borough,Juneau City and Borough,AK,Alaska,"Juneau City and Borough, AK",12,31849,31275,2682516,58.3729099,-134.1784454
Alaska_Kenai Peninsula Borough,Kenai Peninsula Borough,AK,Alaska,"Kenai Peninsula Borough, AK",12,59414,55400,3070355,60.3666677,-152.3222833
Alaska_Ketchikan Gateway Borough,Ketchikan Gateway Borough,AK,Alaska,"Ketchikan Gateway Borough, AK",12,13747,13477,957850,55.4499378,-131.1066847
Alaska_Kodiak Island Borough,Kodiak Island Borough,AK,Alaska,"Kodiak Island Borough, AK",12,12992,13592,848359,57.7044003,-153.9183721
Alaska_Kusilvak Census Area,Kusilvak Census Area,AK,Alaska,"Kusilvak Census Area, AK",12,8328,7459,173275,62.2835878,-163.1901714
Alaska_Lake and Peninsula Borough,Lake and Peninsula Borough,AK,Alaska,"Lake and Peninsula Borough, AK",12,1493,1631,114731,58.1085067,-156.4134134
Alaska_Matanuska-Susitna Borough,Matanuska-Susitna Borough,AK,Alaska,"Matanuska-Susitna Borough, AK",12,110213,88995,3378629,62.2790939,-149.6190939
Alaska_Nome Census Area,Nome Census Area,AK,Alaska,"Nome Census Area, AK",12,9909,9492,480920,64.7836858,-164.1889119
Alaska_North Slope Borough,North Slope Borough,AK,Alaska,"North Slope Borough, AK",12,9294,9430,6885164,69.4493427,-153.4728302
Alaska_Northwest Arctic Borough,Northwest Arctic Borough,AK,Alaska,"Northwest Arctic Borough, AK",12,7644,7523,634546,67.0050655,-160.0210864
Alaska_Petersburg Borough,Petersburg Borough,AK,Alaska,"Petersburg Borough, AK",12,3296,3815,204797,57.1124581,-133.0085979
Alaska_Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,AK,Alaska,"Prince of Wales-Hyder Census Area, AK",12,6147,5559,275582,55.6827733,-133.1623885
Alaska_Sitka City and Borough,Sitka City and Borough,AK,Alaska,"Sitka City and Borough, AK",12,8405,8881,513094,57.1932044,-135.3673965
Alaska_Skagway Municipality,Skagway Municipality,AK,Alaska,"Skagway Municipality, AK",12,1179,968,76420,59.5603794,-135.3382787
Alaska_Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,AK,Alaska,"Southeast Fairbanks Census Area, AK",12,6957,7029,760172,63.8649972,-143.2186282
Alaska_Wrangell City and Borough,Wrangell City and Borough,AK,Alaska,"Wrangell City and Borough, AK",12,2510,2369,91110,56.317416,-132.343978
Alaska_Yakutat City and Borough,Yakutat City and Borough,AK,Alaska,"Yakutat City and Borough, AK",12,637,662,43861,60.0174528,-140.416942
Alaska_Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,AK,Alaska,"Yukon-Koyukuk Census Area, AK",12,5077,5588,354226,65.3757271,-151.5778496
Arizona_Apache County,Apache,AZ,Arizona,"Apache, AZ",12,71875,71518,2720216,35.385084,-109.4901722
Arizona_Cochise County,Cochise,AZ,Arizona,"Cochise, AZ",12,127450,131346,5399087,31.8401287,-109.7751627
Arizona_Coconino County,Coconino,AZ,Arizona,"Coconino, AZ",12,142481,134421,8444850,35.8296919,-111.7737277
Arizona_Gila County,Gila,AZ,Arizona,"Gila, AZ",12,54303,53597,2147803,33.7896177,-110.8118696
Arizona_Graham County,Graham,AZ,Arizona,"Graham, AZ",12,39211,37220,1546301,32.9318277,-109.8783103
Arizona_Greenlee County,Greenlee,AZ,Arizona,"Greenlee, AZ",12,9341,8437,2172860,33.2388723,-109.2423231
Arizona_La Paz County,La Paz,AZ,Arizona,"La Paz, AZ",12,21480,20489,877143,33.7276104,-114.038806
Arizona_Maricopa County,Maricopa,AZ,Arizona,"Maricopa, AZ",12,4579081,3817117,304496668,33.3451756,-112.4989297
Arizona_Mohave County,Mohave,AZ,Arizona,"Mohave, AZ",12,217206,200186,7037905,35.717705,-113.7496891
Arizona_Navajo County,Navajo,AZ,Arizona,"Navajo, AZ",12,112112,107449,3309321,35.3907852,-110.3210248
Arizona_Pima County,Pima,AZ,Arizona,"Pima, AZ",12,1061175,980263,50231611,32.1280427,-111.7836574
Arizona_Pinal County,Pinal,AZ,Arizona,"Pinal, AZ",12,480828,375770,11593918,32.9185209,-111.3663396
Arizona_Santa Cruz County,Santa Cruz,AZ,Arizona,"Santa Cruz, AZ",12,46808,47420,2274933,31.525733,-110.8452278
Arizona_Yavapai County,Yavapai,AZ,Arizona,"Yavapai, AZ",12,240226,211033,8796885,34.631071,-112.5772247
Arizona_Yuma County,Yuma,AZ,Arizona,"Yuma, AZ",12,217824,195751,8977170,32.7739424,-113.910905
Arkansas_Arkansas County,Arkansas,AR,Arkansas,"Arkansas, AR",8,17383,19019,1248957,34.2895697,-91.3765466
Arkansas_Ashley County,Ashley,AR,Arkansas,"Ashley, AR",8,19339,21853,821835,33.1908354,-91.7722672
Arkansas_Baxter County,Baxter,AR,Arkansas,"Baxter, AR",8,42242,41513,1647490,36.2802684,-92.3299488
Arkansas_Benton County,Benton,AR,Arkansas,"Benton, AR",8,288774,221339,18538651,36.3378189,-94.2562984
Arkansas_Boone County,Boone,AR,Arkansas,"Boone, AR",8,37625,36903,1539051,36.3042991,-93.0792364
Arkansas_Bradley County,Bradley,AR,Arkansas,"Bradley, AR",8,10639,11508,420336,33.4665491,-92.1691559
Arkansas_Calhoun County,Calhoun,AR,Arkansas,"Calhoun, AR",8,5113,5368,407558,33.5604604,-92.513879
Arkansas_Carroll County,Carroll,AR,Arkansas,"Carroll, AR",8,28276,27446,1049964,36.3373704,-93.5409718
Arkansas_Chicot County,Chicot,AR,Arkansas,"Chicot, AR",8,9924,11800,319510,33.2671393,-91.2971578
Arkansas_Clark County,Clark,AR,Arkansas,"Clark, AR",8,22103,22995,916225,34.0533162,-93.1762085
Arkansas_Clay County,Clay,AR,Arkansas,"Clay, AR",8,14375,16083,416079,36.3673021,-90.4187041
Arkansas_Cleburne County,Cleburne,AR,Arkansas,"Cleburne, AR",8,24935,25970,733576,35.5663146,-92.0599504
Arkansas_Cleveland County,Cleveland,AR,Arkansas,"Cleveland, AR",8,7957,8689,159221,33.8932006,-92.1887141
Arkansas_Columbia County,Columbia,AR,Arkansas,"Columbia, AR",8,23331,24552,1019951,33.2230377,-93.2328433
Arkansas_Conway County,Conway,AR,Arkansas,"Conway, AR",8,21037,21273,856383,35.265702,-92.6892479
Arkansas_Craighead County,Craighead,AR,Arkansas,"Craighead, AR",8,112245,96443,5806904,35.8277285,-90.6314213
Arkansas_Crawford County,Crawford,AR,Arkansas,"Crawford, AR",8,63409,61948,2011103,35.5830114,-94.2362187
Arkansas_Crittenden County,Crittenden,AR,Arkansas,"Crittenden, AR",8,47616,50902,1977793,35.2118788,-90.3153317
Arkansas_Cross County,Cross,AR,Arkansas,"Cross, AR",8,16142,17870,508208,35.2856921,-90.7639835
Arkansas_Dallas County,Dallas,AR,Arkansas,"Dallas, AR",8,6802,8116,309609,33.9678233,-92.6539989
Arkansas_Desha County,Desha,AR,Arkansas,"Desha, AR",8,11110,13008,596707,33.8287519,-91.2441034
Arkansas_Drew County,Drew,AR,Arkansas,"Drew, AR",8,17977,18509,704621,33.5872418,-91.7227781
Arkansas_Faulkner County,Faulkner,AR,Arkansas,"Faulkner, AR",8,126919,113237,4231942,35.1465478,-92.3369277
Arkansas_Franklin County,Franklin,AR,Arkansas,"Franklin, AR",8,17897,18125,496629,35.5085579,-93.8876647
Arkansas_Fulton County,Fulton,AR,Arkansas,"Fulton, AR",8,12381,12245,214707,36.3836192,-91.8196636
Arkansas_Garland County,Garland,AR,Arkansas,"Garland, AR",8,99789,96024,3907112,34.5788523,-93.1469323
Arkansas_Grant County,Grant,AR,Arkansas,"Grant, AR",8,18449,17853,526659,34.2855683,-92.4229794
Arkansas_Greene County,Greene,AR,Arkansas,"Greene, AR",8,45597,42090,1684183,36.1206072,-90.5663459
Arkansas_Hempstead County,Hempstead,AR,Arkansas,"Hempstead, AR",8,21253,22609,1158094,33.7283293,-93.6654791
Arkansas_Hot Spring County,Hot Spring,AR,Arkansas,"Hot Spring, AR",8,33787,32923,1193574,34.3151767,-92.9441474
Arkansas_Howard County,Howard,AR,Arkansas,"Howard, AR",8,13109,13789,695633,34.0830639,-93.9909315
Arkansas_Independence County,Independence,AR,Arkansas,"Independence, AR",8,37757,36647,2008754,35.7374992,-91.5599423
Arkansas_Izard County,Izard,AR,Arkansas,"Izard, AR",8,13613,13696,317535,36.0948792,-91.9136252
Arkansas_Jackson County,Jackson,AR,Arkansas,"Jackson, AR",8,16636,17997,725487,35.5964674,-91.2232051
Arkansas_Jefferson County,Jefferson,AR,Arkansas,"Jefferson, AR",8,65377,77435,3531670,34.277239,-91.929673
Arkansas_Johnson County,Johnson,AR,Arkansas,"Johnson, AR",8,26513,25540,778614,35.5733586,-93.4663223
Arkansas_Lafayette County,Lafayette,AR,Arkansas,"Lafayette, AR",8,6596,7645,159515,33.2406294,-93.611514
Arkansas_Lawrence County,Lawrence,AR,Arkansas,"Lawrence, AR",8,16410,17415,494044,36.0410983,-91.1011529
Arkansas_Lee County,Lee,AR,Arkansas,"Lee, AR",8,8513,10424,206650,34.7795048,-90.7797172
Arkansas_Lincoln County,Lincoln,AR,Arkansas,"Lincoln, AR",8,12944,14134,305617,33.957675,-91.7276258
Arkansas_Little River County,Little River,AR,Arkansas,"Little River, AR",8,12180,13171,523159,33.699497,-94.2297741
Arkansas_Logan County,Logan,AR,Arkansas,"Logan, AR",8,21410,22353,546029,35.2186538,-93.7209102
Arkansas_Lonoke County,Lonoke,AR,Arkansas,"Lonoke, AR",8,73921,68356,1589652,34.7551137,-91.894132
Arkansas_Madison County,Madison,AR,Arkansas,"Madison, AR",8,16644,15717,479132,36.0125452,-93.7240531
Arkansas_Marion County,Marion,AR,Arkansas,"Marion, AR",8,16790,16653,620325,36.2666636,-92.6785765
Arkansas_Miller County,Miller,AR,Arkansas,"Miller, AR",8,43177,43462,1504805,33.3055054,-93.9015018
Arkansas_Mississippi County,Mississippi,AR,Arkansas,"Mississippi, AR",8,40066,46480,3332087,35.7669437,-90.0522072
Arkansas_Monroe County,Monroe,AR,Arkansas,"Monroe, AR",8,6584,8149,226957,34.6795117,-91.2033099
Arkansas_Montgomery County,Montgomery,AR,Arkansas,"Montgomery, AR",8,9006,9487,156782,34.5456557,-93.664153
Arkansas_Nevada County,Nevada,AR,Arkansas,"Nevada, AR",8,8099,8997,263629,33.6666991,-93.3050716
Arkansas_Newton County,Newton,AR,Arkansas,"Newton, AR",8,7602,8330,117420,35.9107423,-93.2158984
Arkansas_Ouachita County,Ouachita,AR,Arkansas,"Ouachita, AR",8,23167,26120,704390,33.5911684,-92.8784131
Arkansas_Perry County,Perry,AR,Arkansas,"Perry, AR",8,10327,10445,172435,34.9463629,-92.9268773
Arkansas_Phillips County,Phillips,AR,Arkansas,"Phillips, AR",8,17299,21757,641692,34.4236874,-90.8555931
Arkansas_Pike County,Pike,AR,Arkansas,"Pike, AR",8,10643,11291,299473,34.1581907,-93.6586589
Arkansas_Poinsett County,Poinsett,AR,Arkansas,"Poinsett, AR",8,23283,24583,687775,35.5688702,-90.6811037
Arkansas_Polk County,Polk,AR,Arkansas,"Polk, AR",8,19707,20662,672076,34.4909149,-94.2308841
Arkansas_Pope County,Pope,AR,Arkansas,"Pope, AR",8,64334,61754,3347225,35.456557,-93.0268181
Arkansas_Prairie County,Prairie,AR,Arkansas,"Prairie, AR",8,7966,8715,224161,34.8311162,-91.5536205
Arkansas_Pulaski County,Pulaski,AR,Arkansas,"Pulaski, AR",8,392980,382748,33134697,34.7703106,-92.312996
Arkansas_Randolph County,Randolph,AR,Arkansas,"Randolph, AR",8,18247,17969,601344,36.3412985,-91.0284409
Arkansas_Saline County,Saline,AR,Arkansas,"Saline, AR",8,123968,107118,3014597,34.6485246,-92.674463
Arkansas_Scott County,Scott,AR,Arkansas,"Scott, AR",8,10164,11233,361942,34.8588693,-94.0636413
Arkansas_Searcy County,Searcy,AR,Arkansas,"Searcy, AR",8,7842,8195,206807,35.8963868,-92.6958884
Arkansas_Sebastian County,Sebastian,AR,Arkansas,"Sebastian, AR",8,127590,125744,7515124,35.1969808,-94.2749889
Arkansas_Sevier County,Sevier,AR,Arkansas,"Sevier, AR",8,16702,17058,539067,33.9948773,-94.2432792
Arkansas_Sharp County,Sharp,AR,Arkansas,"Sharp, AR",8,17424,17264,400973,36.1733989,-91.4710689
Arkansas_St. Francis County,St. Francis,AR,Arkansas,"St. Francis, AR",8,24682,28258,828211,35.0140258,-90.7421378
Arkansas_Stone County,Stone,AR,Arkansas,"Stone, AR",8,12674,12394,281540,35.8570011,-92.1404819
Arkansas_Union County,Union,AR,Arkansas,"Union, AR",8,38219,41639,2866616,33.1682186,-92.5981447
Arkansas_Van Buren County,Van Buren,AR,Arkansas,"Van Buren, AR",8,16541,17295,464068,35.5829532,-92.5159757
Arkansas_Washington County,Washington,AR,Arkansas,"Washington, AR",8,243216,203065,14085162,35.978001,-94.2172695
Arkansas_White County,White,AR,Arkansas,"White, AR",8,78729,77076,2641479,35.2551175,-91.7530339
Arkansas_Woodruff County,Woodruff,AR,Arkansas,"Woodruff, AR",8,6264,7260,262322,35.1927768,-91.2445353
Arkansas_Yell County,Yell,AR,Arkansas,"Yell, AR",8,21181,22185,716807,34.9977133,-93.4083032
California_Alameda County,Alameda,CA,California,"Alameda, CA",12,1662323,1510271,152982207,37.6471385,-121.912488
California_Alpine County,Alpine,CA,California,"Alpine, CA",12,1119,1175,116410,38.6217831,-119.7983522
California_Amador County,Amador,CA,California,"Amador, CA",12,40083,38091,1976931,38.4435501,-120.6538563
California_Butte County,Butte,CA,California,"Butte, CA",12,212744,220000,10006052,39.6659588,-121.6019188
California_Calaveras County,Calaveras,CA,California,"Calaveras, CA",12,46308,45578,1712179,38.1838996,-120.5614415
California_Colusa County,Colusa,CA,California,"Colusa, CA",12,21558,21419,1477208,39.1777385,-122.2375629
California_Contra Costa County,Contra Costa,CA,California,"Contra Costa, CA",12,1152333,1049025,80984498,37.919479,-121.9515431
California_Del Norte County,Del Norte,CA,California,"Del Norte, CA",12,27968,28610,907559,41.763958,-124.003614
California_El Dorado County,El Dorado,CA,California,"El Dorado, CA",12,192925,181058,9098872,38.7856116,-120.5342245
California_Fresno County,Fresno,CA,California,"Fresno, CA",12,1000918,930450,49987063,36.7610058,-119.6550193
California_Glenn County,Glenn,CA,California,"Glenn, CA",12,28283,28122,1233786,39.6025462,-122.4016998
California_Humboldt County,Humboldt,CA,California,"Humboldt, CA",12,134977,134623,6456739,40.7066554,-123.9261757
California_Imperial County,Imperial,CA,California,"Imperial, CA",12,180267,174528,9912905,33.0408143,-115.3554001
California_Inyo County,Inyo,CA,California,"Inyo, CA",12,18046,18546,1437047,36.561977,-117.4039269
California_Kern County,Kern,CA,California,"Kern, CA",12,901362,839631,52239044,35.3466288,-118.7295064
California_Kings County,Kings,CA,California,"Kings, CA",12,152692,152982,7258824,36.072478,-119.8155301
California_Lake County,Lake,CA,California,"Lake, CA",12,64479,64665,2326083,39.0948019,-122.7467569
California_Lassen County,Lassen,CA,California,"Lassen, CA",12,30016,34895,1332149,40.7210862,-120.6299518
California_Los Angeles County,Los Angeles,CA,California,"Los Angeles, CA",12,9943046,9818605,836162805,34.1963983,-118.2618616
California_Madera County,Madera,CA,California,"Madera, CA",12,157761,150865,6907890,37.2098213,-119.7498023
California_Marin County,Marin,CA,California,"Marin, CA",12,257332,252409,35172142,38.0518169,-122.7459738
California_Mariposa County,Mariposa,CA,California,"Mariposa, CA",12,17160,18251,916395,37.5700295,-119.9128613
California_Mendocino County,Mendocino,CA,California,"Mendocino, CA",12,86061,87841,4123802,39.4323876,-123.4428811
California_Merced County,Merced,CA,California,"Merced, CA",12,279252,255793,10465518,37.1948063,-120.7228019
California_Modoc County,Modoc,CA,California,"Modoc, CA",12,8763,9686,545721,41.5929185,-120.7183704
California_Mono County,Mono,CA,California,"Mono, CA",12,14534,14202,1274698,37.9158363,-118.8751668
California_Monterey County,Monterey,CA,California,"Monterey, CA",12,430906,415057,30712263,36.240107,-121.3155723
California_Napa County,Napa,CA,California,"Napa, CA",12,135965,136484,12387136,38.5070999,-122.3259045
California_Nevada County,Nevada,CA,California,"Nevada, CA",12,99606,98764,5036784,39.2975082,-120.7713429
California_Orange County,Orange,CA,California,"Orange, CA",12,3166857,3010232,288519549,33.6756872,-117.7772068
California_Placer County,Placer,CA,California,"Placer, CA",12,402950,348432,27665813,39.0620323,-120.7227181
California_Plumas County,Plumas,CA,California,"Plumas, CA",12,18967,20007,1097864,39.9922953,-120.8243709
California_Riverside County,Riverside,CA,California,"Riverside, CA",12,2489188,2189641,104504923,33.7298275,-116.0022389
California_Sacramento County,Sacramento,CA,California,"Sacramento, CA",12,1559146,1418788,106417145,38.4500161,-121.3404408
California_San Benito County,San Benito,CA,California,"San Benito, CA",12,64055,55269,2933589,36.6107024,-121.085296
California_San Bernardino County,San Bernardino,CA,California,"San Bernardino, CA",12,2189183,2035210,108678543,34.8572198,-116.1811967
California_San Diego County,San Diego,CA,California,"San Diego, CA",12,3332427,3095313,267973544,33.0236041,-116.7761174
California_San Francisco County,San Francisco,CA,California,"San Francisco, CA",12,866606,805235,236385103,37.7272391,-123.0322294
California_San Joaquin County,San Joaquin,CA,California,"San Joaquin, CA",12,767967,685306,36790065,37.9349815,-121.272244
California_San Luis Obispo County,San Luis Obispo,CA,California,"San Luis Obispo, CA",12,282249,269637,19639637,35.3852242,-120.4475445
California_San Mateo County,San Mateo,CA,California,"San Mateo, CA",12,758308,718451,163153624,37.4146725,-122.3715457
California_Santa Barbara County,Santa Barbara,CA,California,"Santa Barbara, CA",12,444766,423895,33306884,34.5370572,-120.0399729
California_Santa Clara County,Santa Clara,CA,California,"Santa Clara, CA",12,1907105,1781642,407484990,37.2207774,-121.6906224
California_Santa Cruz County,Santa Cruz,CA,California,"Santa Cruz, CA",12,269925,262382,18076112,37.0124883,-122.007205
California_Shasta County,Shasta,CA,California,"Shasta, CA",12,179027,177223,9419468,40.7605142,-122.0435556
California_Sierra County,Sierra,CA,California,"Sierra, CA",12,2920,3240,102647,39.5769252,-120.5219926
California_Siskiyou County,Siskiyou,CA,California,"Siskiyou, CA",12,43245,44900,1892676,41.5879861,-122.5332868
California_Solano County,Solano,CA,California,"Solano, CA",12,446935,413344,33100194,38.2672255,-121.939594
California_Sonoma County,Sonoma,CA,California,"Sonoma, CA",12,489819,483878,34450601,38.5251824,-122.9261095
California_Stanislaus County,Stanislaus,CA,California,"Stanislaus, CA",12,550081,514453,26519792,37.5623162,-121.0028311
